line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L103,OWH,TMI,600.0,288.4630330582255,48.07717217637092,34.8411215430613
S-L33,OHA,TWZ,1000.0,476.8258866954937,47.68258866954937,5.83384010644619
N-L32,MAT,EDG,1000.0,473.3470146465601,47.334701464656014,14.0850449213899
N-L30,TWH,HLY,1000.0,471.4768746965888,47.147687469658884,21.8774098275929
S-L67,TKB,TWZ,1000.0,459.7520985553179,45.97520985553179,19.2394064857811
S-L16,CML,CYD,1000.0,455.5854188378747,45.55854188378747,16.1518872153449
N-L70,BPE,MHO,600.0,262.4375771284401,43.73959618807336,36.6876123371481
S-L31,OHB,OHC,1000.0,432.99778849689505,43.29977884968951,7.18601761558355
N-L89,MNI,MKE,600.0,257.76914933349224,42.96152488891538,11.2927120407318
N-L5,TWC,BPE,1000.0,429.0834194933577,42.90834194933577,13.9501594205303
N-L9,BPE,RPO,1000.0,421.5470486629018,42.154704866290174,126.489841230213
N-L4,LTN,TWC,1000.0,419.6771740766735,41.96771740766735,13.5771624769752
N-L15,RDF,WHI,1000.0,419.45111325444725,41.94511132544472,19.6541546059149
N-L63,PRM,BPE,1000.0,416.9879382400916,41.69879382400916,89.1766627857024
N-L49,HOB,WRD,1000.0,410.2010963894023,41.020109638940234,7.64567336415667
N-L50,WRD,ALB,1000.0,397.64031965495997,39.764031965495995,6.84953795057248
N-L10,TNG,TKU,1000.0,395.6805620787804,39.56805620787804,56.4138455676308
N-L74,DVK,WPW,600.0,236.562204501588,39.427034083598,46.5370081361114
S-L34,CML,TWZ,1000.0,383.9832824530975,38.39832824530975,112.713648005474
N-L41,BOB,TAK,1000.0,375.5610029610249,37.55610029610249,17.6577520064375
N-L72,WDV,DVK,600.0,225.27542667851145,37.545904446418575,20.349334390747
N-L1,WIL,TKR,1000.0,369.9610579426246,36.99610579426246,14.633860334039
N-L37,WKM,HAM,1000.0,359.3697763622674,35.936977636226736,83.3285111255594
N-L73,BPE,MTR,600.0,214.27081673211075,35.71180278868513,69.4414496466749
N-L91,MTR,TNG,600.0,210.66056086026848,35.11009347671141,24.1067305826562
S-L17,ROX,NSY,1000.0,344.0379987422198,34.40379987422199,78.1687641623564
N-L7,BRK,SFD,1000.0,324.34831908609357,32.434831908609354,86.3730324501648
S-L40,SBK,ASY,300.0,97.19511291910054,32.398370973033515,7.46749170908944
S-L29,BEN,AVI,1000.0,308.93843445175014,30.893843445175012,16.3868616792413
N-L6,BPE,BRK,1000.0,294.084541144011,29.4084541144011,67.8691980370583
N-L54,WWD,CPK,600.0,175.00408034504002,29.16734672417334,9.12324065546938
N-L33,EDG,TRK,1000.0,281.2318834947935,28.12318834947935,59.4021743041186
N-L126,OTA,PEN,600.0,167.94967627273786,27.991612712122976,6.91947044006439
N-L3,MHO,LTN,1000.0,279.55777218373237,27.955777218373235,24.0682738713005
