line,bus0,bus1,capacity_MVA,max_flow_MW,loading_pct,length_km
N-L13,HRP,WHI,1000.0,250.92572662182116,25.092572662182118,27.6323109307974
N-L74,DVK,WPW,600.0,149.5981511624107,24.933025193735116,46.5370081361114
N-L105,KMO,TGA,600.0,147.1146836475662,24.519113941261033,3.60246556939479
N-L6,BPE,BRK,1000.0,244.32488479878876,24.432488479878874,67.8691980370583
N-L31,OHK,MAT,1000.0,242.6913311290704,24.269133112907042,71.5534915004651
S-L12,BWK,HWB,600.0,144.16247133507235,24.027078555845392,30.4321133282901
N-L1,WIL,TKR,1000.0,238.03424460874925,23.803424460874925,14.633860334039
N-L63,PRM,BPE,1000.0,231.96844310519674,23.196844310519673,89.1766627857024
N-L14,HRP,TAB,1000.0,228.8189971627814,22.881899716278138,74.0791223090802
N-L25,OHK,ATI,1000.0,228.52061948719634,22.852061948719633,5.76201766151515
N-L75,WPW,FHL,600.0,133.71393585741993,22.285655976236654,44.5972419239363
S-L20,WTK,BPD,600.0,132.8294108564387,22.138235142739784,51.7614337971315
S-L32,OHA,OHB,1000.0,221.23004232270875,22.123004232270876,7.60826530992153
N-L15,RDF,WHI,1000.0,219.65808812520996,21.965808812520997,19.6541546059149
N-L8,BPE,TNG,1000.0,216.6631063432069,21.66631063432069,90.8326945020655
N-L51,OTA,HEN,1000.0,212.559334122573,21.2559334122573,25.183156334408
S-L18,NSY,ISL,1000.0,210.38624171531043,21.038624171531044,254.456253711251
N-L24,WRK,OHK,1000.0,209.51989197076745,20.951989197076745,24.2708357763857
S-L14,GOR,ROX,600.0,124.86668955435364,20.811114925725608,77.6455842218199
N-L46,OTA,PEN,1000.0,201.26103302205846,20.126103302205845,6.91947044006439
N-L117,PAO,WHU,600.0,117.95020066543438,19.658366777572397,14.0611060604546
N-L81,WVY,HWA,600.0,113.5980554882461,18.933009248041017,34.7992086563272
N-L92,TNG,OKN,600.0,110.91988577839226,18.48664762973204,18.073189232034
N-L18,WRK,NAP,1000.0,178.59999999999997,17.859999999999996,6.54307017622372
S-L38,ISL,BRY,1000.0,177.02318309303757,17.70231830930376,15.0234066520665
N-L93,OKN,NPK,600.0,105.11467340904703,17.519112234841174,30.0001452933056
S-L15,ROX,CYD,1000.0,173.80579649075466,17.380579649075468,33.0205753190476
N-L94,NPK,TMN,600.0,102.911540280138,17.151923380023,30.534572738875
N-L90,MKE,SFD,600.0,102.71596824139964,17.119328040233274,27.2434822473258
N-L86,JRD,CST,600.0,100.12931563439956,16.688219272399927,5.0
N-L99,LFD,KIN,600.0,99.56430112138014,16.594050186896688,16.1101816872175
S-L60,ARG,BLN,600.0,97.98243124729889,16.330405207883146,63.6923129696462
S-L62,ISL,KIK,1000.0,160.56511509255353,16.05651150925535,209.29883908991
N-L3,MHO,LTN,1000.0,158.19549879567893,15.819549879567893,24.0682738713005
S-L22,BPD,STU,600.0,94.28890507701784,15.714817512836307,21.1682078165655
N-L118,WHU,WKO,600.0,93.8302314232902,15.638371903881701,18.8709578885833
S-L36,ASB,TWZ,1000.0,155.14617555408796,15.514617555408798,140.943305388764
S-L10,GOR,BAL,600.0,92.25997302876677,15.376662171461128,67.3372432968722
N-L76,FHL,RDF,600.0,92.0913578192011,15.348559636533516,7.3489729613692
S-L13,CML,FKN,600.0,91.93632670363525,15.322721117272541,35.8955094629381
N-L42,TAK,OTA,1000.0,144.22890731285005,14.422890731285005,11.2991084983143
N-L2,HAY,BPE,1000.0,143.74404556728686,14.374404556728686,111.473863940216
S-L59,KIK,ARG,600.0,85.98363124729887,14.330605207883146,27.2700046491581
S-L23,STU,TIM,600.0,85.01286934072702,14.168811556787835,40.6631960837673
N-L4,LTN,TWC,1000.0,138.48514794199946,13.848514794199945,13.5771624769752
N-L85,SFD,JRD,600.0,80.36356796727769,13.393927994546281,30.0
S-L45,HOR,COL,300.0,39.351799235982746,13.11726641199425,41.856035602556
S-L19,WTK,NSY,1000.0,122.9983880716452,12.29983880716452,46.2422051148948
S-L4,INV,ROX,1000.0,121.35557601753635,12.135557601753636,124.450661177984
N-L112,KPO,CBG,600.0,72.09853564128888,12.01642260688148,7.59298413864778
N-L106,TGA,MTM,600.0,71.410679038817,11.901779839802833,9.1804885562517
S-L37,ASB,ISL,1000.0,118.85835127340455,11.885835127340455,72.6632202676853
S-L11,BAL,BWK,600.0,70.16987133507236,11.694978555845394,40.9016505853267
N-L59,GFD,HAY,600.0,67.7935941836106,11.2989323639351,11.409676392122
S-L65,INV,GOR,1000.0,111.94108172678918,11.194108172678918,50.4143388834791
S-L44,KBY,HOR,300.0,33.40375472581639,11.134584908605463,13.7425853599801
S-L42,SBK,KAI,300.0,33.268530622304375,11.089510207434792,10.0
N-L58,MLG,HAY,600.0,63.83961281577326,10.639935469295542,7.85756690395563
N-L52,ALB,SVL,1000.0,105.195936069008,10.5195936069008,12.8614947325559
S-L43,ISL,KBY,300.0,31.11832162661738,10.372773875539126,34.4699100687903
S-L28,AVI,WTK,1000.0,102.52754712867554,10.252754712867555,6.99198819640426
N-L111,ARI,KPO,600.0,61.24532684670467,10.207554474450777,18.842375559488
S-L5,ROX,HWB,1000.0,100.66807084400823,10.066807084400823,99.1992336570195
N-L16,RDF,WTU,1000.0,97.87298957486136,9.787298957486136,7.93586670831229
N-L133,MPE,KOE,600.0,56.36415235982748,9.39402539330458,54.5950672272588
N-L120,HAM,HLY,600.0,55.30759087909962,9.21793181318327,29.6524968959619
N-L101,TRK,ROT,600.0,54.963658311768334,9.160609718628056,10.1608690527649
N-L119,WKO,KPU,600.0,53.23875430683918,8.87312571780653,29.234827656905
S-L57,KIK,STK,600.0,50.65638829815817,8.442731383026361,50.3182026447766
N-L108,EDG,WAI,600.0,50.318891162388326,8.386481860398053,32.1206093817246
N-L33,EDG,TRK,1000.0,83.11843765785595,8.311843765785595,59.4021743041186
S-L6,HWB,SDN,1000.0,81.56765362908193,8.156765362908192,4.68824260718601
S-L7,INV,EDN,600.0,48.59257313592314,8.098762189320523,30.9064436254703
N-L114,KPO,TMU,600.0,47.77329128773875,7.962215214623125,20.9216097572617
N-L19,WRK,ARA,1000.0,77.9922,7.79922,3.44180024734283
S-L61,WPR,CUL,1000.0,73.95254243055182,7.395254243055181,38.3279262262021
N-L109,EDG,KAW,600.0,41.540423874991546,6.923403979165258,13.6374721338803
S-L8,EDN,BDE,600.0,40.48884621047644,6.748141035079406,10.8320556104901
S-L56,MCH,KIK,600.0,38.80000714725816,6.4666678578763594,46.3809025386117
S-L21,BPD,OAM,600.0,37.659566925446704,6.276594487574451,20.1525576468041
N-L87,CST,HUI,600.0,37.62433283876501,6.2707221397941675,13.6025601653621
S-L63,CUL,KIK,1000.0,60.629195887113745,6.062919588711375,116.249039253447
N-L102,TRK,OWH,600.0,34.14534021334734,5.6908900355578895,15.6216728391434
N-L39,MTI,WPA,1000.0,53.9946,5.3994599999999995,8.62025911145243
N-L21,THI,PPI,1000.0,52.25,5.225,1.43687860173217
S-L9,BDE,GOR,600.0,30.93282215625586,5.155470359375976,13.301349738739
S-L64,KIK,STK,1000.0,50.65638829815817,5.065638829815817,50.3182026447766
N-L56,WIL,KWA,600.0,29.990618607516943,4.998436434586157,2.42227147235758
N-L113,CBG,HAM,600.0,28.30379538376364,4.717299230627273,18.7488549653149
S-L58,STK,BLN,600.0,27.587005380282434,4.597834230047073,61.0140464327686
S-L25,TIM,TMK,600.0,25.78624118299445,4.297706863832408,17.286354792236
