line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct,length_km
N-L14,HRP,TAB,1000.0,275.2765158105076,27.527651581050762,74.0791223090802
N-L105,KMO,TGA,600.0,164.813207073321,27.4688678455535,3.60246556939479
N-L70,BPE,MHO,600.0,163.40177971912198,27.233629953186995,36.6876123371481
N-L15,RDF,WHI,1000.0,262.12068795591733,26.21206879559173,19.6541546059149
N-L1,WIL,TKR,1000.0,261.8426859642637,26.184268596426367,14.633860334039
N-L63,PRM,BPE,1000.0,251.44792195265083,25.14479219526508,89.1766627857024
N-L75,WPW,FHL,600.0,150.4621140854444,25.077019014240733,44.5972419239363
S-L20,WTK,BPD,600.0,147.60015875539122,24.60002645923187,51.7614337971315
S-L66,TKB,BEN,1000.0,242.7915295677823,24.27915295677823,48.9954645620083
N-L25,OHK,ATI,1000.0,238.45822940726063,23.845822940726062,5.76201766151515
N-L51,OTA,HEN,1000.0,235.92701481957604,23.592701481957604,25.183156334408
N-L42,TAK,OTA,1000.0,235.2778064771328,23.527780647713282,11.2991084983143
S-L15,ROX,CYD,1000.0,233.20409572982751,23.32040957298275,33.0205753190476
S-L12,BWK,HWB,600.0,134.54390936737553,22.42398489456259,30.4321133282901
N-L24,WRK,OHK,1000.0,220.42898167348815,22.042898167348817,24.2708357763857
N-L117,PAO,WHU,600.0,128.98895615526803,21.49815935921134,14.0611060604546
S-L18,NSY,ISL,1000.0,202.1077361244284,20.210773612442843,254.456253711251
N-L92,TNG,OKN,600.0,117.490934578169,19.581822429694835,18.073189232034
S-L38,ISL,BRY,1000.0,193.59047694393092,19.35904769439309,15.0234066520665
N-L93,OKN,NPK,600.0,111.36187489660459,18.560312482767433,30.0001452933056
N-L94,NPK,TMN,600.0,109.22599940677095,18.204333234461824,30.534572738875
N-L99,LFD,KIN,600.0,108.66577725200246,18.11096287533374,16.1101816872175
S-L60,ARG,BLN,600.0,107.89964331372833,17.98327388562139,63.6923129696462
N-L86,JRD,CST,600.0,107.21255821883061,17.868759703138434,5.0
N-L18,WRK,NAP,1000.0,178.59999999999997,17.859999999999996,6.54307017622372
S-L62,ISL,KIK,1000.0,178.3245523387268,17.83245523387268,209.29883908991
S-L36,ASB,TWZ,1000.0,176.38872733416798,17.6388727334168,140.943305388764
S-L22,BPD,STU,600.0,105.45271362908193,17.575452271513655,21.1682078165655
S-L14,GOR,ROX,600.0,105.29053051825537,17.54842175304256,77.6455842218199
N-L118,WHU,WKO,600.0,102.61164066543438,17.10194011090573,18.8709578885833
N-L90,MKE,SFD,600.0,101.41813571336945,16.90302261889491,27.2434822473258
S-L13,CML,FKN,600.0,100.54048867529264,16.756748112548774,35.8955094629381
N-L3,MHO,LTN,1000.0,165.64258733590944,16.564258733590943,24.0682738713005
S-L59,KIK,ARG,600.0,95.90084331372833,15.983473885621388,27.2700046491581
S-L23,STU,TIM,600.0,95.30854973505852,15.884758289176421,40.6631960837673
N-L2,HAY,BPE,1000.0,155.39912470152927,15.539912470152927,111.473863940216
N-L76,FHL,RDF,600.0,92.05680791477637,15.342801319129396,7.3489729613692
N-L4,LTN,TWC,1000.0,152.59426946953897,15.259426946953896,13.5771624769752
N-L112,KPO,CBG,600.0,90.50526140446826,15.084210234078043,7.59298413864778
N-L85,SFD,JRD,600.0,90.09099495801365,15.015165826335608,30.0
S-L37,ASB,ISL,1000.0,133.739379303242,13.373937930324201,72.6632202676853
S-L45,HOR,COL,300.0,39.29150959950709,13.097169866502362,41.856035602556
N-L106,TGA,MTM,600.0,78.09388110905729,13.01564685150955,9.1804885562517
S-L5,ROX,HWB,1000.0,125.73859639880361,12.57385963988036,99.1992336570195
S-L10,GOR,BAL,600.0,75.00235443204285,12.500392405340474,67.3372432968722
N-L59,GFD,HAY,600.0,74.13827953173136,12.356379921955227,11.409676392122
S-L42,SBK,KAI,300.0,36.38207492298213,12.127358307660709,10.0
